OPEC Exports (000's b/Day)
22213
17909
13826
12017
11477
10584
12484
11657
12974
14872
16099
16904
17733
18198
18277
18526
18890
19873
21286
19985
21286
20262
18592
20138
22860
24228
23954
24576
24364
22647
23419
24161
25793
24308
23337
23697
25267
24861
