World Oil Demand (000's b/Day)
62925
61063
59508
59153
60330
60173
61913
63327
65260
66275
66675
67088
67444
67628
68720
70024
71595
73866
74126
75812
76390
77153
77818
79560
82699
84057
85370
86771
86152
85047
87646
88553
89521
91146
92068
94078
95541
97196
