OPEC Production  (000's b/Day)
25454
21079
17889
15941
15273
14423
17107
16276
18590
20111
21756
21901
23659
24060
24498
24612
24877
25616
27931
26369
27999
27234
24932
27544
30568
31812
32076
31655
32598
29406
29720
30589
32896
32027
31094
32024
33441
32515
